TS = 4592675, TJ = 961551
TS = 1826842, TJ = 1780772
TS = 14999133, TJ = 307178
TS = 12260319, TJ = 7572880
TS = 16065854, TJ = 2428654
TS = 3550968, TJ = 1141436
TS = 143494979, TJ = 3544793
TS = 1834051, TJ = 1790731
TS = 3042198, TJ = 2469849
TS = 8339333, TJ = 7704914
TS = 12099341, TJ = 2336836
TS = 12068794, TJ = 2197054
TS = 2149640, TJ = 1800701
TS = 3358232, TJ = 1618171
TS = 1859834, TJ = 1808967
TS = 2479883, TJ = 2441659
TS = 3381827, TJ = 408925
TS = 1808363, TJ = 1768552
TS = 1768627, TJ = 1723844
TS = 14506093, TJ = 4914886
TS = 4607478, TJ = 3157481
TS = 4521339, TJ = 1443219
TS = 1782489, TJ = 1726760
TS = 3340349, TJ = 2895917
TS = 115622899, TJ = 8503260
TS = 19888989, TJ = 2635885
TS = 5575469, TJ = 2822865
TS = 22627305, TJ = 934760
TS = 10185733, TJ = 2533560
TS = 4379146, TJ = 1162997
TS = 5089968, TJ = 3558420
TS = 3426177, TJ = 302932
TS = 4317700, TJ = 342776
TS = 4281103, TJ = 3762405
TS = 5916815, TJ = 2274703
TS = 3548061, TJ = 2165763
TS = 3368617, TJ = 1266596
TS = 8488323, TJ = 1185830
TS = 9976288, TJ = 5323907
TS = 8978541, TJ = 1648834
TS = 10849139, TJ = 1585743
TS = 10088815, TJ = 3539392
TS = 12522686, TJ = 2570756
TS = 52553870, TJ = 7821744
TS = 2015709, TJ = 1958953
TS = 9593625, TJ = 5476986
TS = 7758666, TJ = 5045942
TS = 37172346, TJ = 10026350
TS = 42738912, TJ = 12277124
TS = 41962737, TJ = 8779544
TS = 42497849, TJ = 8812035
TS = 41973265, TJ = 9085576
TS = 43234080, TJ = 9183070
TS = 39190911, TJ = 10147529
TS = 3251516, TJ = 1229924
TS = 4213870, TJ = 2600315
TS = 1854948, TJ = 1808939
TS = 9054572, TJ = 704631
TS = 10326360, TJ = 3374213
TS = 10433010, TJ = 5121176
TS = 9712217, TJ = 940207
TS = 10297519, TJ = 1240838
TS = 18555476, TJ = 4637503
TS = 19888345, TJ = 7192562
TS = 20516615, TJ = 5712822
TS = 20726729, TJ = 6129252
TS = 20520397, TJ = 13645651
TS = 19200559, TJ = 7054006
TS = 18929455, TJ = 6464754
TS = 26693400, TJ = 348799
TS = 27216219, TJ = 1146220
TS = 32630170, TJ = 1553295
TS = 32261539, TJ = 25988778
TS = 100702056, TJ = 59466666
TS = 84594590, TJ = 33324275
TS = 90333707, TJ = 36067166
TS = 85127187, TJ = 32956304
TS = 84161645, TJ = 32813683
TS = 84901288, TJ = 33325631
TS = 85361846, TJ = 38847596
TS = 37002815, TJ = 935453
TS = 36922581, TJ = 36144618
TS = 47299206, TJ = 25602204
TS = 55484869, TJ = 17890350
TS = 80537452, TJ = 36016266
TS = 84689021, TJ = 5445088
TS = 86260518, TJ = 5577248
TS = 84618389, TJ = 5741325
TS = 120568600, TJ = 1016254
TS = 121532979, TJ = 2855362
TS = 30461573, TJ = 1260483
TS = 18956501, TJ = 1280321
TS = 24480622, TJ = 1142976
TS = 20027074, TJ = 1868080
TS = 98360603, TJ = 37293304
TS = 98782628, TJ = 31400768
TS = 107498765, TJ = 31701052
TS = 108250302, TJ = 77781942
TS = 105329015, TJ = 32595586
TS = 100250546, TJ = 33409977
TS = 99585665, TJ = 32696032
TS = 100781066, TJ = 33396829
TS = 18476227, TJ = 1400264
TS = 24181123, TJ = 2979156
TS = 20491651, TJ = 1874876
TS = 24950299, TJ = 3019312
TS = 29112149, TJ = 14443664
TS = 24596722, TJ = 2550555
TS = 21541137, TJ = 3061626
TS = 23908693, TJ = 3165189
TS = 3740743, TJ = 265524
TS = 10430678, TJ = 3393508
TS = 26224610, TJ = 13786339
TS = 35300821, TJ = 3543431
TS = 35235731, TJ = 343261
TS = 84921397, TJ = 2593731
TS = 81111061, TJ = 10246022
TS = 86676712, TJ = 893645
TS = 64399027, TJ = 1771223
TS = 8076495, TJ = 1512170
TS = 8502411, TJ = 2892723
TS = 10317402, TJ = 1502657
TS = 68428292, TJ = 3512211
TS = 7473681, TJ = 3525934
TS = 11566770, TJ = 2075832
TS = 11008581, TJ = 616923
TS = 7288346, TJ = 2567754
TS = 11272820, TJ = 2142878
TS = 8179208, TJ = 2793796
TS = 8532132, TJ = 2493257
TS = 6706132, TJ = 1653239
TS = 7325559, TJ = 4471029
TS = 13871328, TJ = 2887872
TS = 15107164, TJ = 2620685
TS = 16339630, TJ = 1061015
